 -0.885000000000000     
  1.608232-141  1.864895-146  7.680513-146  1.304802-145  2.702765-145  4.624874-145  5.481873-145  7.412591-145
  1.456328-130  1.469567-130  1.452540-130  1.448109-130  1.459236-130  1.457372-130  1.459353-130  1.432079-130
  1.447273-130  1.446735-130  1.441480-130  1.438816-130  1.440668-130  1.435935-130  1.426933-130  1.414694-130
  1.412621-130  1.410158-130  1.416020-130  1.384760-130  1.391760-130  1.391075-130  1.371791-130  1.361132-130
  1.358304-130  1.357590-130  1.332870-130  1.329746-130  1.313939-130  1.318286-130  1.282936-130  1.290248-130
  1.272798-130  1.258740-130  1.252931-130  1.227409-130  1.217697-130  1.204739-130  1.196175-130  1.167549-130
  1.164224-130  1.145585-130  1.133383-130  1.117000-130  1.099081-130  1.081798-130  1.063631-130  1.042468-130
  1.028897-130  1.018183-130  9.981119-131  9.818278-131  9.635248-131  9.486400-131  9.198322-131  9.144130-131
  8.964100-131  8.738057-131  8.640469-131  8.399602-131  8.288618-131  8.101113-131  7.927240-131  7.694967-131
  7.546367-131  7.403815-131  7.216499-131  7.010653-131  6.868188-131  6.746623-131  6.512049-131  6.388160-131
  6.225148-131  6.083077-131  5.900472-131  5.714930-131  5.590429-131  5.412202-131  5.282146-131  5.104435-131
  4.962441-131  4.856740-131  4.670760-131  4.557144-131  4.395043-131  4.306618-131  4.135650-131  4.011199-131
  3.864465-131  3.782047-131  3.639245-131  3.500897-131  3.393573-131  3.298150-131  3.167901-131  3.052644-131
  2.975443-131  2.857975-131  2.774449-131  2.633242-131  2.566367-131  2.456393-131  2.367856-131  2.283799-131
  2.200481-131  2.123672-131  2.035770-131  1.952193-131  1.887037-131  1.810549-131  1.736840-131  1.665778-131
  1.606015-131  1.534889-131  1.473281-131  1.420982-131  1.364442-131  1.306253-131  1.251293-131  1.200065-131
 -0.835000000000000     
  5.600085-126  5.815011-130  2.846027-129  4.726348-129  9.670123-129  1.553238-128  1.901544-128  2.499935-128
  3.211842-128  4.766749-128  5.050600-128  5.680577-128  7.190226-128  8.369062-128  9.306693-128  9.294593-128
  1.201387-127  1.253194-127  1.387764-127  1.415726-127  1.593412-127  1.768901-127  1.797378-127  1.922562-127
  2.021781-127  2.245592-127  2.288127-127  2.376296-127  2.498626-127  2.549712-127  2.644802-127  2.764834-127
  2.787371-127  2.950116-127  3.022189-127  2.986075-127  3.143021-127  3.133070-127  3.215460-127  3.159244-127
  3.302144-127  3.308681-127  3.251330-127  3.339115-127  3.259823-127  3.384287-127  3.249172-127  3.248284-127
  3.302489-127  3.306856-127  3.265017-127  3.191081-127  3.200959-127  3.162761-127  3.073625-127  3.050017-127
  3.015172-127  3.028774-127  2.898314-127  2.847373-127  2.851887-127  2.758981-127  2.719967-127  2.589288-127
  2.577610-127  2.570829-127  2.443435-127  2.421024-127  2.309663-127  2.304294-127  2.201739-127  2.123405-127
  2.121757-127  2.015184-127  1.986533-127  1.903838-127  1.866808-127  1.824171-127  1.740642-127  1.707267-127
  1.652913-127  1.620682-127  1.566557-127  1.519806-127  1.461678-127  1.447652-127  1.398643-127  1.347371-127
  1.325128-127  1.293568-127  1.267596-127  1.223557-127  1.200382-127  1.171565-127  1.148192-127  1.118138-127
  1.108988-127  1.090526-127  1.085995-127  1.046940-127  1.041048-127  1.024153-127  1.022990-127  1.005671-127
  9.768794-128  9.975481-128  9.684841-128  9.649138-128  9.603875-128  9.631367-128  9.497044-128  9.382368-128
  9.458077-128  9.355963-128  9.381491-128  9.219459-128  9.341411-128  9.399088-128  9.242117-128  9.196142-128
  9.309616-128  9.270668-128  9.185372-128  9.202364-128  9.177896-128  9.287760-128  9.117926-128  9.142948-128
  9.178536-128  9.207984-128  9.131115-128  9.032672-128  9.202612-128  9.021066-128  9.021283-128  8.937567-128
  8.957762-128  9.013783-128  8.861515-128  8.792656-128  8.819636-128  8.767817-128  8.729511-128  8.513973-128
  8.552231-128  8.495286-128  8.412557-128  8.328485-128  8.286040-128  8.200959-128  8.087490-128  7.954402-128
  7.885837-128  7.813571-128  7.771918-128  7.559270-128  7.516731-128  7.457787-128  7.285411-128  7.164852-128
  7.087478-128  7.012877-128  6.823120-128  6.740956-128  6.601819-128  6.564127-128  6.325457-128  6.307613-128
  6.163602-128  6.041568-128  5.942061-128  5.770733-128  5.660179-128  5.555457-128  5.448749-128  5.262624-128
  5.198328-128  5.054407-128  4.958619-128  4.827499-128  4.698796-128  4.567357-128  4.446346-128  4.312245-128
  4.206338-128  4.117323-128  3.993128-128  3.879470-128  3.764608-128  3.659711-128  3.510307-128  3.446469-128
  3.338520-128  3.218048-128  3.145594-128  3.021568-128  2.943454-128  2.839394-128  2.743124-128  2.631106-128
  2.547463-128  2.468206-128  2.374589-128  2.280515-128  2.201476-128  2.131830-128  2.034496-128  1.967473-128
  1.890956-128  1.823473-128  1.741517-128  1.666115-128  1.607345-128  1.535632-128  1.475501-128  1.403820-128
  1.344873-128  1.298445-128  1.230213-128  1.183150-128  1.124044-128  1.083940-128  1.024461-128  9.794131-129
  9.301256-129  8.953319-129  8.472449-129  8.023808-129  7.651544-129  7.324820-129  6.917912-129  6.559632-129
  6.291799-129  5.942290-129  5.666695-129  5.291942-129  5.064662-129  4.768862-129  4.518259-129  4.287392-129
  4.052097-129  3.841208-129  3.615945-129  3.409209-129  3.234329-129  3.050887-129  2.872829-129  2.701134-129
  2.557562-129  2.401360-129  2.260587-129  2.137829-129  2.014342-129  1.893236-129  1.781111-129  1.674544-129
 -0.825000000000000     
  2.427135-123  3.494784-127  1.694051-126  2.738301-126  5.642588-126  8.915342-126  1.106155-125  1.438167-125
  1.849494-125  2.736559-125  2.897006-125  3.273354-125  4.100635-125  4.746821-125  5.273276-125  5.246749-125
  6.760195-125  7.028037-125  7.739129-125  7.840386-125  8.786771-125  9.720473-125  9.782345-125  1.046456-124
  1.096674-124  1.209249-124  1.224465-124  1.263687-124  1.325448-124  1.342978-124  1.382149-124  1.437194-124
  1.438507-124  1.515189-124  1.538094-124  1.510625-124  1.577781-124  1.568345-124  1.596506-124  1.556097-124
  1.614482-124  1.608107-124  1.566234-124  1.594211-124  1.543896-124  1.589896-124  1.517459-124  1.504542-124
  1.520902-124  1.508915-124  1.481120-124  1.429448-124  1.426060-124  1.397691-124  1.344561-124  1.323664-124
  1.299731-124  1.293515-124  1.229346-124  1.198230-124  1.190699-124  1.142430-124  1.119211-124  1.055509-124
  1.046402-124  1.035593-124  9.767510-125  9.621086-125  9.117054-125  9.063686-125  8.598443-125  8.260570-125
  8.215584-125  7.780893-125  7.639306-125  7.307159-125  7.149469-125  6.974471-125  6.650904-125  6.539325-125
  6.321156-125  6.208839-125  6.020424-125  5.847501-125  5.656341-125  5.615609-125  5.462759-125  5.298280-125
  5.233836-125  5.148144-125  5.087615-125  4.941914-125  4.884896-125  4.819025-125  4.757358-125  4.679752-125
  4.682298-125  4.644332-125  4.662847-125  4.549678-125  4.546990-125  4.509390-125  4.553370-125  4.504028-125
  4.396303-125  4.519914-125  4.416710-125  4.420415-125  4.423532-125  4.460355-125  4.414689-125  4.369674-125
  4.413958-125  4.377691-125  4.396980-125  4.315675-125  4.373355-125  4.398284-125  4.314039-125  4.293729-125
  4.337811-125  4.307883-125  4.249080-125  4.252435-125  4.225291-125  4.245557-125  4.159223-125  4.148722-125
  4.143599-125  4.134821-125  4.074239-125  4.011314-125  4.060624-125  3.953611-125  3.931082-125  3.862593-125
  3.845499-125  3.844777-125  3.746500-125  3.693997-125  3.672375-125  3.623342-125  3.581310-125  3.462182-125
  3.447205-125  3.396634-125  3.336184-125  3.270138-125  3.226701-125  3.165573-125  3.094747-125  3.012805-125
  2.960754-125  2.907275-125  2.861465-125  2.763287-125  2.716891-125  2.669604-125  2.582209-125  2.513606-125
  2.462794-125  2.410240-125  2.319279-125  2.270812-125  2.199188-125  2.163289-125  2.063830-125  2.037564-125
  1.969183-125  1.910682-125  1.857939-125  1.783912-125  1.729096-125  1.679258-125  1.627049-125  1.553598-125
  1.517857-125  1.457324-125  1.414780-125  1.359341-125  1.307328-125  1.254619-125  1.206946-125  1.157816-125
  1.114015-125  1.076480-125  1.031539-125  9.888355-126  9.470190-126  9.079229-126  8.603210-126  8.330935-126
  7.957667-126  7.573576-126  7.304917-126  6.930800-126  6.648338-126  6.318260-126  6.023670-126  5.699439-126
  5.435788-126  5.194220-126  4.928856-126  4.667767-126  4.434606-126  4.226188-126  3.977492-126  3.786690-126
  3.584256-126  3.407135-126  3.198484-126  3.015822-126  2.865904-126  2.696963-126  2.548090-126  2.382606-126
  2.248079-126  2.137158-126  1.990815-126  1.885474-126  1.759312-126  1.667664-126  1.549513-126  1.459240-126
  1.362684-126  1.288488-126  1.197140-126  1.114742-126  1.044803-126  9.834848-127  9.120751-127  8.497104-127
  8.004660-127  7.423095-127  6.943610-127  6.374604-127  5.983790-127  5.535459-127  5.148150-127  4.797276-127
  4.441342-127  4.130346-127  3.815555-127  3.531932-127  3.284876-127  3.037442-127  2.804472-127  2.583577-127
  2.398595-127  2.207004-127  2.035925-127  1.885372-127  1.738656-127  1.602325-127  1.477177-127  1.360427-127
 -0.815000000000000     
  7.966453-121  1.559393-124  7.299488-124  1.154281-123  2.401633-123  3.750985-123  4.680467-123  6.054639-123
  7.784771-123  1.147567-122  1.215571-122  1.377414-122  1.708484-122  1.965570-122  2.181266-122  2.165768-122
  2.774777-122  2.878594-122  3.152203-122  3.171324-122  3.539403-122  3.897100-122  3.889082-122  4.158372-122
  4.336357-122  4.749039-122  4.780913-122  4.897818-122  5.119915-122  5.154286-122  5.262204-122  5.440815-122
  5.406288-122  5.666126-122  5.702385-122  5.564611-122  5.768640-122  5.714234-122  5.766070-122  5.577539-122
  5.737203-122  5.686765-122  5.491490-122  5.537733-122  5.323180-122  5.433466-122  5.157314-122  5.071809-122
  5.092389-122  5.007438-122  4.890745-122  4.661010-122  4.625040-122  4.500532-122  4.287401-122  4.189066-122
  4.088779-122  4.036958-122  3.813916-122  3.691906-122  3.644702-122  3.474607-122  3.385923-122  3.173915-122
  3.134552-122  3.088378-122  2.897700-122  2.845742-122  2.687096-122  2.672047-122  2.524114-122  2.424685-122
  2.410444-122  2.287777-122  2.247668-122  2.151320-122  2.114374-122  2.068151-122  1.982069-122  1.963345-122
  1.902925-122  1.883848-122  1.839241-122  1.797963-122  1.756643-122  1.754406-122  1.723276-122  1.686983-122
  1.679018-122  1.665608-122  1.660595-122  1.626693-122  1.617605-122  1.612190-122  1.599969-122  1.587285-122
  1.594867-122  1.593825-122  1.606262-122  1.579933-122  1.579387-122  1.571670-122  1.592570-122  1.578442-122
  1.540186-122  1.587942-122  1.551094-122  1.550965-122  1.551768-122  1.563782-122  1.544389-122  1.523454-122
  1.534734-122  1.519318-122  1.520420-122  1.483871-122  1.496325-122  1.498113-122  1.459348-122  1.446933-122
  1.454335-122  1.434949-122  1.405091-122  1.399277-122  1.381295-122  1.374413-122  1.338942-122  1.326025-122
  1.313937-122  1.301801-122  1.271935-122  1.243470-122  1.247870-122  1.204996-122  1.189754-122  1.157621-122
  1.142640-122  1.133113-122  1.092985-122  1.070276-122  1.052587-122  1.028833-122  1.008816-122  9.656984-123
